archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Izzet Faeries,0.47368421052632,114,0.38,0.57,/Pauper/izzet-faeries
Mono Black Pactdoll,0.40350877192982,114,0.31,0.5,/Pauper/mono-black-pactdoll
Mono Green Stompy,0.45045045045045,111,0.36,0.55,/Pauper/mono-green-stompy
Goblin Combo (MoggWarts),0.49484536082474,97,0.39,0.6,/Pauper/goblin-combo-moggwarts
Naya Gates,0.5360824742268,97,0.43,0.64,/Pauper/naya-gates
Red Storm,0.60759493670886,79,0.49,0.72,/Pauper/red-storm
Esper Metalcraft,0.37878787878788,66,0.26,0.51,/Pauper/esper-metalcraft
Gruul Eldrazi,0.46153846153846,65,0.34,0.59,/Pauper/gruul-eldrazi
Retriever Combo,0.44444444444444,63,0.32,0.58,/Pauper/retriever-combo
Esper Gates,0.44262295081967,61,0.32,0.58,/Pauper/esper-gates
Naya Initiative,0.55932203389831,59,0.42,0.69,/Pauper/naya-initiative
Tireless Tribe Combo,0.45454545454545,55,0.32,0.59,/Pauper/tireless-tribe-combo
Temur Control,0.48076923076923,52,0.34,0.62,/Pauper/temur-control
Grixis Control,0.49019607843137,51,0.35,0.63,/Pauper/grixis-control
Izzet Blitz,0.34090909090909,44,0.2,0.5,/Pauper/izzet-blitz
Pili-Pala Combo,0.5,44,0.35,0.65,/Pauper/pili-pala-combo
Boros Metalcraft,0.53488372093023,43,0.38,0.69,/Pauper/boros-metalcraft
Goblins,0.39024390243902,41,0.24,0.55,/Pauper/goblins
Simic Terror,0.33333333333333,36,0.19,0.51,/Pauper/simic-terror
Cascade Tron,0.34285714285714,35,0.19,0.52,/Pauper/cascade-tron
Jeskai Gates,0.68571428571429,35,0.51,0.83,/Pauper/jeskai-gates
Dimir Spirits,0.46875,32,0.29,0.65,/Pauper/dimir-spirits
Esper Ephemerate,0.61290322580645,31,0.42,0.78,/Pauper/esper-ephemerate
Orzhov Discard,0.32258064516129,31,0.17,0.51,/Pauper/orzhov-discard
Bant Initiative,0.16666666666667,30,0.06,0.35,/Pauper/bant-initiative
Temur Cascade,0.55555555555556,27,0.35,0.75,/Pauper/temur-cascade
Mono Red Tron,0.48148148148148,27,0.29,0.68,/Pauper/mono-red-tron
Reanimator,0.34615384615385,26,0.17,0.56,/Pauper/reanimator
Temur Ramp,0.42307692307692,26,0.23,0.63,/Pauper/temur-ramp
Golgari Exhume,0.47826086956522,23,0.27,0.69,/Pauper/golgari-exhume
Rakdos Burn,0.43478260869565,23,0.23,0.66,/Pauper/rakdos-burn
Izzet Delver,0.31818181818182,22,0.14,0.55,/Pauper/izzet-delver
Orzhov Pestilence,0.47619047619048,21,0.26,0.7,/Pauper/orzhov-pestilence
Simic Ponza,0.33333333333333,21,0.15,0.57,/Pauper/simic-ponza
Mono Green Ramp,0.4,20,0.19,0.64,/Pauper/mono-green-ramp
Mono Black Land Destruction,0.45,20,0.23,0.68,/Pauper/mono-black-land-destruction
Mono Blue Affinity,0.55,20,0.32,0.77,/Pauper/mono-blue-affinity
Mono Red Ponza,0.31578947368421,19,0.13,0.57,/Pauper/mono-red-ponza
Mono Black Madness,0.31578947368421,19,0.13,0.57,/Pauper/mono-black-madness
Rakdos Exhume,0.36842105263158,19,0.16,0.62,/Pauper/rakdos-exhume
Golgari Auras,0.36842105263158,19,0.16,0.62,/Pauper/golgari-auras
UB Teachings,0.5,18,0.26,0.74,/Pauper/ub-teachings
Esper Bounce,0.44444444444444,18,0.22,0.69,/Pauper/esper-bounce
Mono Green Tokens,0.3125,16,0.11,0.59,/Pauper/mono-green-tokens
Jeskai Affinity,0.375,16,0.15,0.65,/Pauper/jeskai-affinity
Mardu Initiative,0.1875,16,0.04,0.46,/Pauper/mardu-initiative
Sultai Midrange,0.46666666666667,15,0.21,0.73,/Pauper/sultai-midrange
Orzhov Metalcraft,0.53333333333333,15,0.27,0.79,/Pauper/orzhov-metalcraft
Orzhov Gates,0.4,15,0.16,0.68,/Pauper/orzhov-gates
Dimir Exhume,0.28571428571429,14,0.08,0.58,/Pauper/dimir-exhume
Bant Auras,0.5,14,0.23,0.77,/Pauper/bant-auras
Izzet Miracles,0.14285714285714,14,0.02,0.43,/Pauper/izzet-miracles
Mono Blue Control,0.38461538461538,13,0.14,0.68,/Pauper/mono-blue-control
Rakdos Unearth,0.38461538461538,13,0.14,0.68,/Pauper/rakdos-unearth
Mono Black Devotion,0.30769230769231,13,0.09,0.61,/Pauper/mono-black-devotion
Mono Blue Tron,0.61538461538462,13,0.32,0.86,/Pauper/mono-blue-tron
Grixis Wildfire,0.23076923076923,13,0.05,0.54,/Pauper/grixis-wildfire
Evolution Tron,0.53846153846154,13,0.25,0.81,/Pauper/evolution-tron
Orzhov Ephemerate,0.66666666666667,12,0.35,0.9,/Pauper/orzhov-ephemerate
Abzan Food,0.25,12,0.05,0.57,/Pauper/abzan-food
Azorius Affinity,0.41666666666667,12,0.15,0.72,/Pauper/azorius-affinity
Esper Blink,0.5,12,0.21,0.79,/Pauper/esper-blink
Golgari Sacrifice,0.36363636363636,11,0.11,0.69,/Pauper/golgari-sacrifice
Soul Sisters,0.45454545454545,11,0.17,0.77,/Pauper/soul-sisters
Mono Black Suicide,0.27272727272727,11,0.06,0.61,/Pauper/mono-black-suicide
Boros Gates,0.54545454545455,11,0.23,0.83,/Pauper/boros-gates
Mono White Affinity,0.45454545454545,11,0.17,0.77,/Pauper/mono-white-affinity
Golgari Party,0.54545454545455,11,0.23,0.83,/Pauper/golgari-party
Zombies,0.2,10,0.03,0.56,/Pauper/zombies
Mono White Ephemerate,0.5,10,0.19,0.81,/Pauper/mono-white-ephemerate
Mono Blue Ninjas,0.6,10,0.26,0.88,/Pauper/mono-blue-ninjas
Dimir Proliferate,0.4,10,0.12,0.74,/Pauper/dimir-proliferate
Golgari Tron,0.5,10,0.19,0.81,/Pauper/golgari-tron
Selesnya Witness,0.5,10,0.19,0.81,/Pauper/selesnya-witness
Grixis Terror,0.44444444444444,9,0.14,0.79,/Pauper/grixis-terror
Rakdos Vampires,0.44444444444444,9,0.14,0.79,/Pauper/rakdos-vampires
Izzet Land Bounce,0.22222222222222,9,0.03,0.6,/Pauper/izzet-land-bounce
Mono White Tron,0.44444444444444,9,0.14,0.79,/Pauper/mono-white-tron
4 Color Affinity,0.55555555555556,9,0.21,0.86,/Pauper/4-color-affinity
Tortured Existence,0.375,8,0.09,0.76,/Pauper/tortured-existence
Izzet Serpentine,0.625,8,0.24,0.91,/Pauper/izzet-serpentine
Temur Dragons,0.25,8,0.03,0.65,/Pauper/temur-dragons
Sultai Bounce,0.5,8,0.16,0.84,/Pauper/sultai-bounce
Dimir Pestilence,0.375,8,0.09,0.76,/Pauper/dimir-pestilence
Jund Cascade,0.28571428571429,7,0.04,0.71,/Pauper/jund-cascade
Boros Aggro,0.57142857142857,7,0.18,0.9,/Pauper/boros-aggro
Jund Eldrazi,0.57142857142857,7,0.18,0.9,/Pauper/jund-eldrazi
Izzet Ping,0.14285714285714,7,0.0,0.58,/Pauper/izzet-ping
Gond Combo,0.5,6,0.12,0.88,/Pauper/gond-combo
Dimir Mill,0.16666666666667,6,0.0,0.64,/Pauper/dimir-mill
Boros Heroic,0.5,6,0.12,0.88,/Pauper/boros-heroic
Orzhov Aggro,0.33333333333333,6,0.04,0.78,/Pauper/orzhov-aggro
Orzhov Monarch,0.5,6,0.12,0.88,/Pauper/orzhov-monarch
Jeskai Control,0.5,6,0.12,0.88,/Pauper/jeskai-control
Dimir Madness,0.5,6,0.12,0.88,/Pauper/dimir-madness
Gruul Cascade,0.5,6,0.12,0.88,/Pauper/gruul-cascade
Orzhov Enchantments,0.5,6,0.12,0.88,/Pauper/orzhov-enchantments
Simic Gates,0.5,6,0.12,0.88,/Pauper/simic-gates
Azorius Faeries,0.33333333333333,6,0.04,0.78,/Pauper/azorius-faeries
Jund Exhume,0.16666666666667,6,0.0,0.64,/Pauper/jund-exhume
Golgari Evolution,0.33333333333333,6,0.04,0.78,/Pauper/golgari-evolution
Saprolings,0.4,5,0.05,0.85,/Pauper/saprolings
Retraction Helix,0.4,5,0.05,0.85,/Pauper/retraction-helix
Jund Madness,0.8,5,0.28,0.99,/Pauper/jund-madness
Mardu Sacrifice,0.2,5,0.01,0.72,/Pauper/mardu-sacrifice
Selesnya Ponza,0.6,5,0.15,0.95,/Pauper/selesnya-ponza
Sultai Faeries,0.8,5,0.28,0.99,/Pauper/sultai-faeries
Temur Terror,0.8,5,0.28,0.99,/Pauper/temur-terror
Azorius Energy,0.6,5,0.15,0.95,/Pauper/azorius-energy
Bant Control,0.2,5,0.01,0.72,/Pauper/bant-control
Azorius Ephemerate,0.5,4,0.07,0.93,/Pauper/azorius-ephemerate
Bant Ephemerate,0.75,4,0.19,0.99,/Pauper/bant-ephemerate
Azorius Auras,0.25,4,0.01,0.81,/Pauper/azorius-auras
Jund Land Destruction,0.5,4,0.07,0.93,/Pauper/jund-land-destruction
Naya Auras,0.5,4,0.07,0.93,/Pauper/naya-auras
Azorius Metalcraft,0.5,4,0.07,0.93,/Pauper/azorius-metalcraft
Selesnya Initiative,0.5,4,0.07,0.93,/Pauper/selesnya-initiative
Mono Black Food,0.25,4,0.01,0.81,/Pauper/mono-black-food
Teachings Tron,0.5,4,0.07,0.93,/Pauper/teachings-tron
Sultai Affinity,0.25,4,0.01,0.81,/Pauper/sultai-affinity
Temur Wildfire,0.25,4,0.01,0.81,/Pauper/temur-wildfire
Naya Ramp,0.25,4,0.01,0.81,/Pauper/naya-ramp
Gruul Aggro,0.66666666666667,3,0.09,0.99,/Pauper/gruul-aggro
Gruul Midrange,0.33333333333333,3,0.01,0.91,/Pauper/gruul-midrange
Selesnya Aggro,0.33333333333333,3,0.01,0.91,/Pauper/selesnya-aggro
Simic Untap,0.33333333333333,3,0.01,0.91,/Pauper/simic-untap
Jund Gates,0.33333333333333,3,0.01,0.91,/Pauper/jund-gates
Izzet Helix,0.66666666666667,3,0.09,0.99,/Pauper/izzet-helix
Golgari Slime,0.33333333333333,3,0.01,0.91,/Pauper/golgari-slime
Jund Reanimator,1.0,2,0.16,1.0,/Pauper/jund-reanimator
Orzhov Breathless,0.5,2,0.01,0.99,/Pauper/orzhov-breathless
